City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Mayo,US,2021-01-28 21:15:42,38.8876,-76.5119,36.0,44,1,18.41
146,Jalu,LY,2021-01-28 21:15:42,29.0331,21.5482,54.99,64,6,12.39
147,Porto Novo,BJ,2021-01-28 21:14:40,6.4965,2.6036,84.2,84,20,11.5
148,Rawson,AR,2021-01-28 21:12:43,-43.3002,-65.1023,70.88,30,75,14.36
149,San Felipe,VE,2021-01-28 21:15:43,10.3399,-68.7425,77.23,69,99,7.83
150,Umm Kaddadah,SD,2021-01-28 21:15:43,13.6017,26.6876,70.88,17,53,18.14
151,Payson,US,2021-01-28 21:10:47,40.0444,-111.7321,48.2,40,75,23.02
152,Itapora,BR,2021-01-28 21:15:43,-22.0799,-54.7874,78.67,87,79,7.11
153,Xai-Xai,MZ,2021-01-28 21:15:43,-25.0519,33.6442,76.93,85,60,12.91
154,Vila Do Maio,CV,2021-01-28 21:15:44,15.1333,-23.2167,71.6,68,0,16.11
155,Avarua,CK,2021-01-28 21:14:16,-21.2078,-159.775,86.0,70,33,14.97
156,Hualmay,PE,2021-01-28 21:15:44,-11.0964,-77.6139,75.85,65,4,11.34
157,Clyde River,CA,2021-01-28 21:15:44,70.4692,-68.5914,-20.2,76,20,4.61
158,Asind,IN,2021-01-28 21:15:44,25.7333,74.3333,51.96,41,0,5.95
159,Luderitz,NA,2021-01-28 21:15:44,-26.6481,15.1594,71.06,46,0,24.32
160,Pitanga,BR,2021-01-28 21:12:21,-24.7572,-51.7614,68.5,96,98,4.32
161,Cherskiy,RU,2021-01-28 21:15:45,68.75,161.3,-28.77,85,82,2.71
162,Hobart,AU,2021-01-28 21:15:45,-42.8794,147.3294,60.01,55,90,10.36
163,Furukawa,JP,2021-01-28 21:12:40,38.5717,140.9556,33.8,93,75,11.5
164,Bozhou,CN,2021-01-28 21:15:45,33.8772,115.7703,30.7,81,0,8.28
165,Klaksvik,FO,2021-01-28 21:15:45,62.2266,-6.589,32.0,69,20,11.5
166,Havelock,US,2021-01-28 21:13:31,34.8791,-76.9013,39.2,56,90,24.16
167,Natal,BR,2021-01-28 21:15:45,-5.795,-35.2094,82.4,69,40,16.11
168,Casablanca,MA,2021-01-28 21:11:58,33.5928,-7.6192,59.0,93,1,4.0
169,Chinna Salem,IN,2021-01-28 21:15:46,11.65,78.9,68.02,88,1,5.64
170,Torbay,CA,2021-01-28 21:15:46,47.6666,-52.7314,26.01,93,90,10.36
171,Kavaratti,IN,2021-01-28 21:15:46,10.5669,72.642,79.75,74,15,8.23
172,Severo-Kurilsk,RU,2021-01-28 21:14:58,50.6789,156.125,27.52,93,69,10.96
173,Kodiak,US,2021-01-28 21:15:46,57.79,-152.4072,35.6,75,90,25.32
174,Tulun,RU,2021-01-28 21:15:46,54.5611,100.5792,-31.29,81,87,1.41
175,Mahebourg,MU,2021-01-28 21:15:47,-20.4081,57.7,77.0,88,75,5.75
176,Pacific Grove,US,2021-01-28 21:15:47,36.6177,-121.9166,55.4,71,75,6.91
177,Tallahassee,US,2021-01-28 21:14:33,30.4383,-84.2807,57.2,38,20,11.5
178,Sibolga,ID,2021-01-28 21:15:47,1.7427,98.7792,72.82,79,100,5.77
179,Dillon,US,2021-01-28 21:15:47,34.4166,-79.3712,46.99,49,1,14.97
180,Bambanglipuro,ID,2021-01-28 21:15:47,-7.95,110.2833,76.62,85,100,2.91
181,Yulara,AU,2021-01-28 21:15:48,-25.2406,130.9889,84.2,45,40,4.61
182,Shingu,JP,2021-01-28 21:15:48,33.7333,135.9833,33.91,85,1,18.43
183,Cidreira,BR,2021-01-28 21:11:11,-30.1811,-50.2056,73.11,91,100,11.23
184,Arraial Do Cabo,BR,2021-01-28 21:14:58,-22.9661,-42.0278,87.8,65,0,11.5
185,Antofagasta,CL,2021-01-28 21:15:48,-23.65,-70.4,69.8,73,75,13.8
186,Lompoc,US,2021-01-28 21:15:48,34.6391,-120.4579,51.8,87,90,8.05
187,Nova Odesa,UA,2021-01-28 21:15:48,47.3078,31.7851,29.26,98,100,19.28
188,Ouegoa,NC,2021-01-28 21:15:48,-20.35,164.4333,81.36,74,14,13.62
189,Rosetta,EG,2021-01-28 21:15:48,31.4044,30.4164,55.4,58,40,16.11
190,Alofi,NU,2021-01-28 21:15:49,-19.0595,-169.9187,77.0,94,90,12.66
191,Asilah,MA,2021-01-28 21:15:49,35.465,-6.0348,62.1,82,42,3.04
192,Hasaki,JP,2021-01-28 21:15:49,35.7333,140.8333,36.0,100,75,9.22
193,Acapulco,MX,2021-01-28 21:15:48,16.8634,-99.8901,86.0,66,40,5.75
194,Ust-Nera,RU,2021-01-28 21:15:49,64.5667,143.2,-29.18,75,100,1.32
195,Nikolskoye,RU,2021-01-28 21:15:49,59.7035,30.7861,32.0,93,75,11.18
196,Bjornevatn,NO,2021-01-28 21:15:49,69.6672,29.9847,10.4,61,0,11.5
197,Maun,BW,2021-01-28 21:15:50,-19.9833,23.4167,69.8,100,75,4.61
198,Kloulklubed,PW,2021-01-28 21:15:50,7.0419,134.2556,82.22,77,85,16.84
199,Cozumel,MX,2021-01-28 21:12:18,20.5083,-86.9458,82.99,65,1,4.61
200,Turukhansk,RU,2021-01-28 21:15:50,65.8167,87.9833,-34.35,78,25,10.67
201,Abapo,BO,2021-01-28 21:15:50,-18.8333,-63.4667,84.81,48,100,8.75
202,Flores,GT,2021-01-28 21:15:50,16.9226,-89.8994,76.8,83,100,5.91
203,Korla,CN,2021-01-28 21:15:51,41.7597,86.1469,20.73,84,0,1.25
204,Adamovka,RU,2021-01-28 21:15:51,51.5223,59.9396,10.22,94,96,8.97
205,Senekal,ZA,2021-01-28 21:15:51,-28.3197,27.6208,59.31,78,37,14.18
206,Harnosand,SE,2021-01-28 21:15:51,62.6323,17.9379,14.0,85,40,6.91
207,Bluff,NZ,2021-01-28 21:15:51,-46.6,168.3333,48.0,80,99,8.01
208,Tura,IN,2021-01-28 21:15:51,25.5198,90.2201,57.25,65,0,2.68
209,Australind,AU,2021-01-28 21:15:51,-33.2667,115.7167,61.0,80,0,11.48
210,Beloha,MG,2021-01-28 21:15:51,-25.1667,45.05,76.82,89,30,7.61
211,Creel,MX,2021-01-28 21:15:52,27.75,-107.6333,60.64,30,0,13.76
212,College,US,2021-01-28 21:15:52,64.8569,-147.8028,-2.0,70,75,2.37
213,Huanren,CN,2021-01-28 21:15:52,41.2647,125.3667,-5.94,87,52,2.04
214,Grindavik,IS,2021-01-28 21:15:52,63.8424,-22.4338,23.0,63,0,4.61
215,Gamba,GA,2021-01-28 21:15:52,-2.65,10.0,77.79,86,100,3.27
216,Kurumkan,RU,2021-01-28 21:15:53,54.3,110.3,-20.83,78,100,3.15
