City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Sola,VU,86.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
391,Santa Fe,AR,87.01,clear sky,-31.6333,-60.7,Conquistador Hotel
394,Correntina,BR,77.25,broken clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
401,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
410,Quijingue,BR,78.03,broken clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
412,Lufilufi,WS,77.0,moderate rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
413,Santa Cruz,BO,77.0,broken clouds,-17.8,-63.1667,Hotel Cortez
418,Beberibe,BR,82.4,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
421,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
423,Puerto Ayacucho,VE,88.18,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
424,Bonthe,SL,78.49,clear sky,7.5264,-12.505,Bonthe Holiday Village
427,Denpasar,ID,78.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
432,San Rafael,AR,83.43,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
433,Sungairaya,ID,75.04,overcast clouds,0.7,108.9,Mess P.Milu
439,Isabela,PH,75.2,broken clouds,6.7085,121.9711,Isawad Resort
451,Gabu,GW,77.43,clear sky,12.2833,-14.2167,Hotel karsa
455,Benguela,AO,75.47,broken clouds,-12.5763,13.4055,Hotel Praia Morena
456,Pauini,BR,77.29,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
468,Hambantota,LK,75.69,overcast clouds,6.1241,81.1185,Bungalow 63
469,Alice Springs,AU,79.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
470,Mattru,SL,77.41,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
482,San Rafael Del Sur,NI,89.6,few clouds,11.8485,-86.4384,Hospedaje El Chino
487,Port Blair,IN,78.75,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
490,Itarema,BR,80.26,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
495,Oriximina,BR,78.44,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
500,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
505,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
