City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Marawi,PH,7.9986,124.2928,71.01,91,79,5.01,moderate rain
247,Diapaga,BF,12.0708,1.7889,75.61,18,0,7.9,clear sky
248,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,6.8,85,74,4.47,broken clouds
249,Eldorado,BR,-23.7869,-54.2836,74.62,93,100,6.46,overcast clouds
250,Koungou,YT,-12.7336,45.2042,80.6,74,99,2.3,moderate rain
251,Hirara,JP,24.8,125.2833,57.2,58,75,8.05,broken clouds
252,Portland,US,45.5234,-122.6762,46.99,76,75,4.61,broken clouds
253,Lokoja,NG,7.8024,6.743,81.86,15,35,0.78,scattered clouds
254,Champerico,GT,14.3,-91.9167,91.4,58,40,13.8,scattered clouds
255,Asau,RO,46.4333,26.4,37.4,81,75,9.22,broken clouds
256,Clyde River,CA,70.4692,-68.5914,-13.0,77,90,8.05,overcast clouds
257,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,20,2.3,few clouds
258,Samarai,PG,-10.6167,150.6667,82.29,76,82,7.18,broken clouds
259,Hima,UG,0.2958,30.1804,70.65,46,44,1.95,scattered clouds
260,Tall Kayf,TR,37.0833,41.0667,42.8,87,40,4.61,scattered clouds
261,Pyaozerskiy,RU,65.8333,31.1667,8.71,95,100,10.45,snow
262,Belousovka,KZ,50.1339,82.5239,-2.2,84,24,3.22,few clouds
263,Maba,CN,24.6841,113.5984,50.94,47,22,0.27,few clouds
264,Thinadhoo,MV,0.5333,72.9333,80.98,78,99,12.68,overcast clouds
265,Kholodnyy,RU,62.7167,147.95,-21.77,83,100,3.65,overcast clouds
266,Kostyantynivka,UA,48.5277,37.7069,34.66,92,100,20.94,light snow
267,Camacha,PT,33.0833,-16.3333,62.6,82,75,8.05,broken clouds
268,Kieta,PG,-6.2167,155.6333,83.62,77,43,11.95,light rain
269,Sao Filipe,CV,14.8961,-24.4956,75.45,55,83,9.28,broken clouds
270,Belyy Yar,RU,53.6039,91.3903,24.8,68,0,6.71,clear sky
271,Cali,CO,3.4372,-76.5225,87.8,48,40,16.11,scattered clouds
272,Puerto Narino,CO,-3.7703,-70.3831,77.0,88,90,2.3,light rain
273,Melnikovo,RU,56.5558,84.085,-10.34,88,93,7.78,overcast clouds
274,Jatibonico,CU,21.9419,-79.17,70.86,62,53,14.36,broken clouds
275,Kerman,IR,30.2832,57.0788,51.8,22,75,6.91,broken clouds
276,Bellmead,US,31.594,-97.1089,64.4,48,1,12.66,clear sky
277,Enshi,CN,30.3,109.4833,45.5,76,97,0.36,overcast clouds
278,Ormara,PK,25.2088,64.6357,66.06,45,0,4.94,clear sky
279,Palu,ID,-0.8917,119.8707,72.39,81,98,2.68,overcast clouds
280,Saskylakh,RU,71.9167,114.0833,-38.63,78,44,0.81,scattered clouds
281,Shimoda,JP,34.6667,138.95,38.46,72,0,13.65,clear sky
282,Carnarvon,AU,-24.8667,113.6333,77.0,83,1,5.75,clear sky
283,Kavieng,PG,-2.5744,150.7967,82.67,82,93,15.01,light rain
284,Kaitangata,NZ,-46.2817,169.8464,57.0,71,83,1.99,broken clouds
285,Pestovo,RU,58.5938,35.8024,23.14,97,96,8.9,overcast clouds
286,Matay,EG,28.419,30.7792,44.37,61,0,3.18,clear sky
287,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,57,1,8.05,clear sky
288,Turukhansk,RU,65.8167,87.9833,-30.17,77,97,5.7,overcast clouds
289,Charlottesville,US,38.0293,-78.4767,37.4,28,1,6.91,clear sky
